"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","verbatimLatitude","verbatimLongitude","verbatimElevation","stateProvince","country","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","startDayOfYear","endDayOfYear","day","month","year","basisOfRecord","type","occurrenceStatus","recordNumber","recordedBy","eventID","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","associatedSequences","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","Location","verbatim_scientificName","idContinuity","country_suggested","countryCode","coordinates_transposed","countryMatch"
"Dorey_data_257803","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-12.713056,143.299438,NA,NA,NA,"Queensland","Australia",NA,"Gordon Creek area, Claudie River District",NA,NA,NA,NA,NA,NA,NA,"CC-BY",NA,"1982/07/07 00:00:00",NA,NA,NA,7,7,1982,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"T234217",NA,NA,"QM",NA,"2083489","urn:lsid:ozcam.taxonomy.org.au:QM.Entomology:T234217",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_URI_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_259366","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,"Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Megachilinae",NA,NA,NA,NA,"L C. Rocha-Filho","2017-08-28",-17.08,145.77,NA,NA,NA,"Queensland","Australia",NA,"Meringa",NA,NA,NA,NA,NA,NA,NA,"CC0",NA,"1927/05/01 00:00:00",NA,NA,NA,1,5,1927,"PRESERVED_SPECIMEN","PhysicalObject","PRESENT",NA,"Burns, N. Alexander | National Museum of Victoria",NA,NA,NA,1,NA,NA,10000,TRUE,"HYM32823",NA,NA,"NMV",NA,NA,"urn:lsid:ozcam.taxonomy.org.au:NMV:Entomology:PreservedSpecimen:HYM32823",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,"Museums Victoria",NA,NA,NA,NA,NA,NA,NA,NA,"FIRST_OF_MONTH | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | RECORDED_DATE_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_250181","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-17.1,145.783341,NA,NA,NA,"Queensland","Australia",NA,"Gordonvale",NA,NA,NA,NA,NA,NA,NA,"CC-BY",NA,"1928/03/14 00:00:00",NA,NA,NA,14,3,1928,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"T234210",NA,NA,"QM",NA,"2083483","urn:lsid:ozcam.taxonomy.org.au:QM.Entomology:T234210",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5e854f44-9f4a-4d9d-8778-d079fa1ed40b",NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_URI_INVALID",NA,NA,"Kept duplicate","5e854f44-9f4a-4d9d-8778-d079fa1ed40b",NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_259719","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,"Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Megachilinae",NA,NA,NA,NA,"L C. Rocha-Filho","2017-08-28",-17.08,145.77,NA,NA,NA,"Queensland","Australia",NA,"Meringa",NA,NA,NA,NA,NA,NA,NA,"CC0",NA,"1926/05/09 00:00:00",NA,NA,NA,9,5,1926,"PRESERVED_SPECIMEN","PhysicalObject","PRESENT",NA,"Burns, N. Alexander | National Museum of Victoria",NA,NA,NA,1,NA,NA,10000,TRUE,"HYM32822",NA,NA,"NMV",NA,NA,"urn:lsid:ozcam.taxonomy.org.au:NMV:Entomology:PreservedSpecimen:HYM32822",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,"Museums Victoria",NA,NA,NA,NA,NA,NA,NA,NA,"MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | RECORDED_DATE_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_258516","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,"Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Megachilinae",NA,NA,NA,NA,"L C. Rocha-Filho","2017-08-28",-17.15,145.87,NA,NA,NA,"Queensland","Australia",NA,"Meerawa",NA,NA,NA,NA,NA,NA,NA,"CC0",NA,"1926/07/04 00:00:00",NA,NA,NA,4,7,1926,"PRESERVED_SPECIMEN","PhysicalObject","PRESENT",NA,"Burns, N. Alexander | National Museum of Victoria",NA,NA,NA,1,NA,NA,NA,TRUE,"HYM32825",NA,NA,"NMV",NA,NA,"urn:lsid:ozcam.taxonomy.org.au:NMV:Entomology:PreservedSpecimen:HYM32825",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,"Museums Victoria",NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | RECORDED_DATE_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_252915","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,"Coelioxys (Coelioxys) albolineata Cockerell, 1905","species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,"Correia da Rocha Filho, Dr Léo - York University - Department of Biology",NA,-15.483,145.266,"15° 29' S","145° 16' E",NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC-BY 3.0 (Au)",NA,"1985/06/13 00:00:00",NA,NA,NA,13,6,1985,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,"Rodd, N.W.","urn:australianmuseum.net.au:Events:1186797",NA,NA,NA,NA,0.001,10000,TRUE,"K.453692",NA,NA,"AM",NA,"ecatalogue.irn:1719943 | urn:catalog:AM:Entomology:K.453692","urn:lsid:ozcam.taxonomy.org.au:AM:Entomology:K.453692",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"092faefa-3b1d-45f1-9e4d-f1a829310774",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK",NA,NA,"Kept duplicate","092faefa-3b1d-45f1-9e4d-f1a829310774","ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Quarantine Bay, Cooktown (15° 29' S, 145° 16' E) 13/06/1985 - 13/06/1985, Rodd, Norman W(Collector), Field Collected - Terrestrial"";","ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_259326","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,"Coelioxys (Coelioxys) albolineata Cockerell, 1905","species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,"Correia da Rocha Filho, Dr Léo - York University - Department of Biology",NA,-15.466,145.25,"15° 28' 0"" S","145° 15' 0"" E",NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC-BY 3.0 (Au)",NA,"1983/08/20 00:00:00",NA,NA,NA,20,8,1983,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,"Rodd, N.W.","urn:australianmuseum.net.au:Events:1172029","sweep sample",NA,NA,NA,0.001,10000,TRUE,"K.453680",NA,NA,"AM",NA,"ecatalogue.irn:1719816 | urn:catalog:AM:Entomology:K.453680","urn:lsid:ozcam.taxonomy.org.au:AM:Entomology:K.453680",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32ecb955-a5d4-482f-b000-737537381362",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK",NA,NA,"Kept duplicate","32ecb955-a5d4-482f-b000-737537381362","ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Cooktown (15° 28' 00"" S, 145° 15' 00"" E) 20/08/1983 - 20/08/1983, Rodd, Norman W(Collector), sweep sample"";","ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_18107456","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-19.1896971,146.7725046,NA,NA,NA,"Queensland","Australia",NA,"Cape Pallarenda",NA,NA,NA,NA,NA,NA,NA,"CC-BY",NA,"1966/08/15 00:00:00",NA,NA,NA,15,8,1966,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"T234211",NA,NA,"QM",NA,"2083481","urn:lsid:ozcam.taxonomy.org.au:QM.Entomology:T234211",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_REPROJECTED | COORDINATE_UNCERTAINTY_METERS_INVALID | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_URI_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,FALSE,"Australia","AU",TRUE,"exact"
"Dorey_data_257760","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,"Coelioxys (Coelioxys) albolineata Cockerell, 1905","species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,"Correia da Rocha Filho, Dr Léo - York University - Department of Biology",NA,-15.466,145.25,"15° 28' S","145° 15' E",NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC-BY 3.0 (Au)",NA,"1982/07/16 00:00:00",NA,NA,NA,16,7,1982,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,"Rodd, R. W","urn:australianmuseum.net.au:Events:1211853",NA,NA,NA,NA,0.001,NA,TRUE,"K.453682",NA,NA,"AM",NA,"ecatalogue.irn:1719840 | urn:catalog:AM:Entomology:K.453682","urn:lsid:ozcam.taxonomy.org.au:AM:Entomology:K.453682",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK",NA,NA,"Kept duplicate",NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Cooktown (15° 28' S, 145° 15' E) 16/07/1982 - 16/07/1982"";","ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_259554","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,"Coelioxys (Coelioxys) albolineata Cockerell, 1905","species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,"Correia da Rocha Filho, Dr Léo - York University - Department of Biology",NA,-15.466,145.25,"15° 28' 0"" S","145° 15' 0"" E",NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC-BY 3.0 (Au)",NA,"1983/08/20 00:00:00",NA,NA,NA,20,8,1983,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,"Rodd, N.W.","urn:australianmuseum.net.au:Events:1172029","sweep sample",NA,NA,NA,0.001,10000,TRUE,"K.453681",NA,NA,"AM",NA,"ecatalogue.irn:1719829 | urn:catalog:AM:Entomology:K.453681","urn:lsid:ozcam.taxonomy.org.au:AM:Entomology:K.453681",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32ecb955-a5d4-482f-b000-737537381362",NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK",NA,NA,"Kept duplicate","32ecb955-a5d4-482f-b000-737537381362","ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Cooktown (15° 28' 00"" S, 145° 15' 00"" E) 20/08/1983 - 20/08/1983, Rodd, Norman W(Collector), sweep sample"";","ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_260316","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,"Coelioxys (Coelioxys) albolineata Cockerell, 1905","species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,"Correia da Rocha Filho, Dr Léo - York University - Department of Biology",NA,-15.466,145.25,"15° 28' 0"" S","145° 15' 0"" E",NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC-BY 3.0 (Au)",NA,"1983/08/20 00:00:00",NA,NA,NA,20,8,1983,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,"Rodd, N.W.","urn:australianmuseum.net.au:Events:1172029","sweep sample",NA,NA,NA,0.001,10000,TRUE,"K.453687",NA,NA,"AM",NA,"ecatalogue.irn:1719900 | urn:catalog:AM:Entomology:K.453687","urn:lsid:ozcam.taxonomy.org.au:AM:Entomology:K.453687",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK",NA,NA,"Kept duplicate","9970833c-c64e-46e8-a82f-edffe95afa3d|ff4ec390-ea92-45d5-9a74-ad97d929cd3f","ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Cooktown (15° 28' 00"" S, 145° 15' 00"" E) 20/08/1983 - 20/08/1983, Rodd, Norman W(Collector), sweep sample"";","ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_260075","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-12.762777,143.286118,NA,NA,NA,"Queensland","Australia",NA,"Eclectus', Iron Range",NA,NA,NA,NA,NA,NA,NA,"CC-BY",NA,"2004/10/23 00:00:00",NA,NA,NA,23,10,2004,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,NA,NA,"Malaise Trap",NA,NA,NA,NA,NA,TRUE,"T234221",NA,NA,"QM",NA,"2083493","urn:lsid:ozcam.taxonomy.org.au:QM.Entomology:T234221",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_URI_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_242877","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,"Coelioxys (Coelioxys) albolineata Cockerell, 1905","species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,"Correia da Rocha Filho, Dr Léo - York University - Department of Biology",NA,-17.86777,146.1075,"17° 52' 4"" S","146° 6' 27"" E",NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC-BY 3.0 (Au)",NA,"1983/09/13 00:00:00",NA,NA,NA,13,9,1983,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,"Rodd, N.W.","urn:australianmuseum.net.au:Events:1204285",NA,NA,NA,NA,1e-5,10000,TRUE,"K.453678",NA,NA,"AM",NA,"ecatalogue.irn:1719793 | urn:catalog:AM:Entomology:K.453678","urn:lsid:ozcam.taxonomy.org.au:AM:Entomology:K.453678",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK",NA,NA,"Kept duplicate",NA,"ecatalogue.LocCollectionEventLocal: ""Australia, Queensland, Mission Beach (17° 52' 04"" S, 146° 06' 27"" E) 13/09/1983 - 13/09/1983, Rodd, Norman W(Collector), Field Collected - Terrestrial"";","ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_254041","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-27.266667,152.466667,NA,NA,NA,"Queensland","Australia",NA,"North Pine",NA,NA,NA,NA,NA,NA,NA,"CC-BY",NA,"1926/07/04 00:00:00",NA,NA,NA,4,7,1926,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"T234208",NA,NA,"QM",NA,"2083480","urn:lsid:ozcam.taxonomy.org.au:QM.Entomology:T234208",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_URI_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_259276","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,"Animalia | Arthropoda | Hexapoda | Insecta | Hymenoptera | Apoidea | Megachilidae | Megachilinae",NA,NA,NA,NA,"L C. Rocha-Filho","2017-08-28",-21.23,148.82,NA,NA,NA,"Queensland","Australia",NA,"Mia Mia",NA,NA,NA,NA,NA,NA,NA,"CC0",NA,"1930/04/09 00:00:00",NA,NA,NA,9,4,1930,"PRESERVED_SPECIMEN","PhysicalObject","PRESENT",NA,"Burns, N. Alexander | National Museum of Victoria",NA,NA,NA,1,NA,NA,NA,TRUE,"HYM32826",NA,NA,"NMV",NA,NA,"urn:lsid:ozcam.taxonomy.org.au:NMV:Entomology:PreservedSpecimen:HYM32826",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,"Museums Victoria",NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | RECORDED_DATE_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_246443","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-12.713056,143.299438,NA,NA,NA,"Queensland","Australia",NA,"Gordon Creek area, Claudie River District",NA,NA,NA,NA,NA,NA,NA,"CC-BY",NA,"1982/06/22 00:00:00",NA,NA,NA,22,6,1982,"PRESERVED_SPECIMEN",NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"T234216",NA,NA,"QM",NA,"2083488","urn:lsid:ozcam.taxonomy.org.au:QM.Entomology:T234216",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COORDINATE_UNCERTAINTY_METERS_INVALID | GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_URI_INVALID",NA,NA,"Kept duplicate",NA,NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
"Dorey_data_258566","Coelioxys albolineatus Cockerell, 1905","Megachilidae","Megachilinae","Coelioxys",NA,NA,"Coelioxys albolineatus","albolineatus",NA,NA,"species","Cockerell, 1905",NA,NA,NA,NA,NA,NA,NA,NA,-19.296278,146.787858,NA,NA,NA,"Queensland","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Creative Commons - license at record level",NA,"2013/01/20 00:00:00",NA,NA,NA,20,1,2013,"OCCURRENCE",NA,"PRESENT",NA,"Tattersall, Malcolm",NA,NA,NA,NA,NA,NA,14,TRUE,NA,NA,NA,NA,NA,NA,"http://www.flickr.com/photos/malcolm_nq/8397468874/",NA,NA,NA,NA,NA,"Coelioxys albolineata",NA,NA,NA,NA,NA,"Attribution-NonCommercial-ShareAlike License",NA,NA,NA,NA,"http://www.flickr.com/photos/malcolm_nq/8397468874/",NA,NA,NA,NA,"BASIS_OF_RECORD_INVALID | FIRST_OF_YEAR | GEODETIC_DATUM_ASSUMED_WGS84 | MISSING_GEODETICDATUM | MISSING_GEOREFERENCEDBY | MISSING_GEOREFERENCEPROTOCOL | MISSING_GEOREFERENCESOURCES | MISSING_GEOREFERENCEVERIFICATIONSTATUS | MISSING_GEOREFERENCE_DATE | MISSING_TAXONRANK | MULTIMEDIA_DATE_INVALID",NA,NA,"Unique","53e2069a-37f9-487b-bde0-e71f6bea0bf0|ea3756c0-fcc7-4684-b4ac-8608ed429324|f6170b88-f3cd-4f5f-8ad0-47bc8bd687d1",NA,"ALA_Apiformes",NA,NA,TRUE,"Australia","AU",TRUE,"exact"
